# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.82897256136586e-09, Chi^2 = 287.344259679584
#  q       exp_intensity   error model_intensity
0.10662500 84.22789764     9.17757988 91.55370931    
0.10722200 82.52349854     9.08423996 86.96390911    
0.10782300 80.76589966     8.98698044 82.38885753    
0.10842700 77.62359619     8.81042957 77.87398302    
0.10903400 76.56520081     8.75014973 73.37986955    
0.10964500 74.34089661     8.62211990 69.00133044    
0.11025900 72.45999908     8.51233959 64.68431641    
0.11087700 71.25530243     8.44128990 60.45361585    
0.11149800 69.31089783     8.32532024 56.37771000    
0.11212200 68.52390289     8.27791977 52.37446411    
0.11275100 66.58419800     8.15991020 48.54181074    
0.11338200 65.17109680     8.07285976 44.86581184    
0.11401700 63.98960114     7.99935007 41.28498095    
0.11465600 61.89239883     7.86716986 37.96601986    
0.11529800 61.27809906     7.82804012 34.77463998    
0.11594400 59.89390182     7.73910999 31.72971763    
0.11659400 57.88629913     7.60831022 28.94811947    
0.11724700 57.69869995     7.59596014 26.30344385    
0.11790400 56.14509964     7.49300003 23.84599899    
0.11856400 54.27289963     7.36701012 21.65010845    
0.11922900 53.76559830     7.33249998 19.59352579    
0.11989600 51.99589920     7.21082020 17.73913760    
0.12056800 51.32500076     7.16415024 16.13536802    
0.12124400 50.20959854     7.08586979 14.68013350    
0.12192300 49.39739990     7.02832985 13.41293209    
0.12260600 47.44919968     6.88834000 12.39098734    
0.12329300 46.72079849     6.83525991 11.50984458    
0.12398300 46.83480072     6.84358978 10.77945726    
0.12467800 44.98830032     6.70733023 10.29561360    
0.12537600 44.09379959     6.64031982 9.94102684     
0.12607899 42.80179977     6.54231024 9.71589172     
0.12678500 42.68519974     6.53339005 9.68153099     
0.12749501 41.23239899     6.42124987 9.77356715     
0.12820899 40.89450073     6.39487982 9.97096642     
0.12892801 40.26810074     6.34571981 10.29033373    
0.12965000 39.02059937     6.24665022 10.73976449    
0.13037600 38.23490143     6.18344021 11.26127307    
0.13110700 37.58459854     6.13063002 11.85240427    
0.13184100 36.47249985     6.03924990 12.52938112    
0.13258000 36.00070190     6.00006008 13.25854153    
0.13332200 35.01570129     5.91740990 14.02488813    
0.13406900 33.88190079     5.82081985 14.82611002    
0.13482000 33.64979935     5.80084991 15.65125617    
0.13557599 32.60049820     5.70969009 16.48035242    
0.13633500 32.04809952     5.66110992 17.30648934    
0.13709900 31.33110046     5.59742022 18.12489448    
0.13786700 30.68320084     5.53923988 18.90840867    
0.13863900 30.16049957     5.49185991 19.66521540    
0.13941599 29.78709984     5.45774984 20.37945281    
0.14019699 29.03619957     5.38851976 21.04151190    
0.14098200 28.17009926     5.30754995 21.64711399    
0.14177200 27.52319908     5.24625015 22.17467154    
0.14256600 27.11260033     5.20697021 22.63498905    
0.14336500 26.32299995     5.13058996 23.02580743    
0.14416800 25.58169937     5.05783987 23.34127664    
0.14497600 25.61689949     5.06130981 23.56848454    
0.14578800 24.74959946     4.97489977 23.70194735    
0.14660500 24.56599998     4.95640993 23.74804079    
0.14742599 24.17840004     4.91715002 23.71291943    
0.14825200 23.62689972     4.86075020 23.59419150    
0.14908201 23.38409996     4.83571005 23.38569102    
0.14991800 22.71990013     4.76654005 23.10134142    
0.15075700 22.61249924     4.75525999 22.72667625    
0.15160200 22.02499962     4.69307995 22.27895478    
0.15245099 21.50300026     4.63713980 21.76115436    
0.15330499 21.45700073     4.63217020 21.17922967    
0.15416400 21.24640083     4.60937977 20.54054789    
0.15502800 20.08639908     4.48179007 19.84336438    
0.15589599 20.21780014     4.49641991 19.09542256    
0.15676901 19.68320084     4.43658018 18.31415454    
0.15764800 19.22820091     4.38499022 17.49909930    
0.15853100 18.61079979     4.31402016 16.65869271    
0.15941900 18.68400002     4.32250023 15.80146430    
0.16031200 18.58729935     4.31129980 14.93434823    
0.16121000 18.35779953     4.28459978 14.06472836    
0.16211300 17.81010056     4.22021008 13.20573709    
0.16302100 17.51309967     4.18486023 12.34708107    
0.16393501 17.50200081     4.18353987 11.52278889    
0.16485301 17.25790024     4.15426016 10.72002078    
0.16577700 16.84709930     4.10451984 9.95041161     
0.16670500 16.69930077     4.08648014 9.21303350     
0.16763900 16.56220055     4.06967020 8.52169092     
0.16857800 16.05830002     4.00727987 7.87548436     
0.16952300 15.91609955     3.98950005 7.27687749     
0.17047200 15.54769993     3.94305992 6.73203957     
0.17142700 15.70740032     3.96325994 6.24126709     
0.17238800 15.42310047     3.92722011 5.80458630     
0.17335300 14.99079990     3.87179995 5.42346641     
0.17432401 14.85779953     3.85457993 5.10102544     
0.17530100 14.78929996     3.84569001 4.83291656     
0.17628300 14.70699978     3.83497000 4.61649193     
0.17727099 14.54469967     3.81375003 4.45386110     
0.17826401 14.08409977     3.75288010 4.34029771     
0.17926200 13.77000046     3.71079993 4.27254855     
0.18026701 13.85760021     3.72257996 4.24953559     
0.18127599 13.96850014     3.73744988 4.26630965     
0.18229200 13.91329956     3.73005009 4.31361222     
0.18331300 13.67570019     3.69806004 4.39317559     
0.18434000 13.12310028     3.62259007 4.49575627     
0.18537299 13.33349991     3.65151000 4.61699755     
0.18641099 13.11750031     3.62180996 4.75485771     
0.18745600 13.02540016     3.60907006 4.90400951     
0.18850601 12.95979977     3.59997010 5.05533819     
0.18956199 12.68640041     3.56180000 5.20993523     
0.19062400 12.55819988     3.54375005 5.36174487     
0.19169199 12.36690044     3.51665998 5.50421831     
0.19276500 12.29930019     3.50704002 5.63954944     
0.19384500 12.09770012     3.47816992 5.75720072     
0.19493100 12.09140015     3.47726989 5.86169865     
0.19602300 12.08069992     3.47572994 5.94679011     
0.19712099 11.72869968     3.42471004 6.00439966     
0.19822600 11.96689987     3.45933008 6.04629445     
0.19933601 11.80720043     3.43617010 6.05804175     
0.20045300 11.74009991     3.42637992 6.05325685     
0.20157599 11.51860046     3.39390993 6.02306399     
0.20270500 11.24320030     3.35308003 5.96976587     
0.20384100 11.23989964     3.35259008 5.89261427     
0.20498200 11.24960041     3.35403991 5.80068617     
0.20613100 11.26220036     3.35593009 5.68067784     
0.20728600 11.29549980     3.36086988 5.54358430     
0.20844699 11.27219963     3.35739994 5.39359238     
0.20961501 11.06579971     3.32652998 5.22932616     
0.21078900 10.92210007     3.30486989 5.05468460     
0.21197000 10.87559986     3.29782009 4.87282205     
0.21315700 10.88780022     3.29966998 4.67343372     
0.21435100 10.58990002     3.25422001 4.48096559     
0.21555200 10.79319954     3.28529000 4.28455705     
0.21675999 10.62020016     3.25886011 4.08858919     
0.21797401 10.55340004     3.24860001 3.89506442     
0.21919499 10.35410023     3.21778989 3.70307116     
0.22042300 10.42609978     3.22895002 3.51482610     
0.22165801 10.35270023     3.21756005 3.33474743     
0.22289900 10.39570045     3.22424006 3.16163782     
0.22414801 10.13529968     3.18359995 2.99678978     
0.22540399 10.18570042     3.19149995 2.84033660     
0.22666700 9.96942043      3.15743995 2.69519525     
0.22793600 9.93299961      3.15166998 2.56052190     
