# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 3.04299491539138e-09, Chi^2 = 427.738223799481
#  q       exp_intensity   error model_intensity
0.06857900 538.20697021    23.19930077 419.02330304   
0.06896320 525.40502930    22.92169952 397.54573865   
0.06934960 510.89199829    22.60289955 377.78566778   
0.06973810 496.14999390    22.27440071 358.11336742   
0.07012870 479.89599609    21.90649986 338.97731153   
0.07052160 466.11099243    21.58959961 321.04507656   
0.07091670 452.41000366    21.26989937 303.01252664   
0.07131390 441.62799072    21.01490021 286.36707794   
0.07171340 425.83801270    20.63579941 270.02140118   
0.07211520 413.38000488    20.33169937 254.09914405   
0.07251920 402.83599854    20.07080078 239.38361411   
0.07292540 391.41500854    19.78420067 224.58775449   
0.07333400 379.20800781    19.47330093 211.10516315   
0.07374480 368.61898804    19.19939995 197.86427012   
0.07415790 357.32299805    18.90299988 185.17729624   
0.07457330 348.22500610    18.66080093 173.44008120   
0.07499110 338.07000732    18.38669968 161.63507940   
0.07541120 328.09600830    18.11339951 151.28492060   
0.07583370 318.00698853    17.83270073 140.90875434   
0.07625850 311.17599487    17.64019966 131.36395654   
0.07668570 302.66598511    17.39730072 122.33986512   
0.07711530 296.56900024    17.22120094 113.63294731   
0.07754730 287.14099121    16.94519997 105.88625479   
0.07798170 279.24499512    16.71059990 98.09640782    
0.07841860 271.87200928    16.48850060 91.49056512    
0.07885790 265.01199341    16.27919960 84.90234652    
0.07929970 259.03100586    16.09440041 79.08716508    
0.07974390 252.04100037    15.87580013 73.62692838    
0.08019060 246.39999390    15.69709969 68.60187463    
0.08063990 240.78500366    15.51720047 64.17732324    
0.08109160 236.71099854    15.38539982 59.93473156    
0.08154590 230.98500061    15.19820023 56.48063641    
0.08200270 225.83000183    15.02760029 53.01292814    
0.08246210 222.21699524    14.90690041 50.44387160    
0.08292400 217.18800354    14.73729992 47.86085733    
0.08338860 214.29200745    14.63869953 45.95356266    
0.08385570 209.28399658    14.46669960 44.17180119    
0.08432550 204.78500366    14.31029987 42.89991637    
0.08479790 201.55400085    14.19699955 41.85285765    
0.08527290 197.74000549    14.06200027 41.18226822    
0.08575060 193.89900208    13.92479992 40.79257274    
0.08623100 190.33500671    13.79619980 40.67856348    
0.08671410 186.88600159    13.67059994 40.86562636    
0.08719990 182.81799316    13.52099991 41.25813750    
0.08768840 179.81199646    13.40939999 41.94681786    
0.08817960 178.50700378    13.36069965 42.79643392    
0.08867360 173.89799500    13.18700027 43.92505847    
0.08917030 170.82299805    13.06989956 45.17928578    
0.08966990 167.60899353    12.94639969 46.67106680    
0.09017220 165.39500427    12.86060047 48.26802386    
0.09067740 160.91000366    12.68500042 50.06141311    
0.09118530 158.25399780    12.57989979 51.94569786    
0.09169620 155.01199341    12.45040035 53.98353877    
0.09220990 151.92599487    12.32579994 56.09411758    
0.09272640 148.69999695    12.19429970 58.30587545    
0.09324590 146.98599243    12.12380028 60.57921495    
0.09376820 145.02699280    12.04269981 62.91935545    
0.09429350 141.46899414    11.89410019 65.29740751    
0.09482180 136.87800598    11.69950008 67.70854102    
0.09535300 134.76600647    11.60890007 70.13034943    
0.09588710 132.66099548    11.51790047 72.56412714    
0.09642430 130.19099426    11.41009998 74.97658703    
0.09696450 126.47699738    11.24619961 77.39309002    
0.09750770 123.34300232    11.10599995 79.73723909    
0.09805390 121.29199982    11.01319981 82.07648375    
0.09860320 118.83000183    10.90089989 84.32028468    
0.09915560 116.65000153    10.80049992 86.53141880    
0.09971110 112.65399933    10.61390018 88.63863337    
0.10027000 109.94599915    10.48550034 90.66857000    
0.10083100 107.58499908    10.37230015 92.60923853    
0.10139600 105.52500153    10.27260017 94.42496404    
0.10196400 102.99400330    10.14859962 96.19077119    
0.10253500 101.13700104    10.05669975 97.74156983    
0.10311000 97.36840057     9.86754036 99.24248496    
0.10368800 95.59169769     9.77709961 100.55778589   
0.10426800 92.86869812     9.63683987 101.75765073   
0.10485200 90.80480194     9.52915955 102.82514654   
0.10544000 88.77649689     9.42212963 103.69931702   
0.10603100 87.35820007     9.34655952 104.49618625   
0.10662500 84.22789764     9.17757988 105.04416111   
0.10722200 82.52349854     9.08423996 105.49348513   
0.10782300 80.76589966     8.98698044 105.77334489   
0.10842700 77.62359619     8.81042957 105.86342010   
0.10903400 76.56520081     8.75014973 105.85925181   
0.10964500 74.34089661     8.62211990 105.59980380   
0.11025900 72.45999908     8.51233959 105.23073829   
0.11087700 71.25530243     8.44128990 104.70978261   
0.11149800 69.31089783     8.32532024 103.98047181   
0.11212200 68.52390289     8.27791977 103.14966249   
0.11275100 66.58419800     8.15991020 102.11771525   
0.11338200 65.17109680     8.07285976 100.94654330   
0.11401700 63.98960114     7.99935007 99.67303175    
0.11465600 61.89239883     7.86716986 98.18233769    
0.11529800 61.27809906     7.82804012 96.59464237    
0.11594400 59.89390182     7.73910999 94.89253382    
0.11659400 57.88629913     7.60831022 93.00898170    
0.11724700 57.69869995     7.59596014 91.04133479    
0.11790400 56.14509964     7.49300003 88.96367620    
0.11856400 54.27289963     7.36701012 86.75348991    
0.11922900 53.76559830     7.33249998 84.46287712    
0.11989600 51.99589920     7.21082020 82.08396221    
0.12056800 51.32500076     7.16415024 79.60206044    
0.12124400 50.20959854     7.08586979 77.06057503    
0.12192300 49.39739990     7.02832985 74.45601958    
0.12260600 47.44919968     6.88834000 71.77992797    
0.12329300 46.72079849     6.83525991 69.06181546    
0.12398300 46.83480072     6.84358978 66.30587205    
0.12467800 44.98830032     6.70733023 63.51205659    
0.12537600 44.09379959     6.64031982 60.70454286    
0.12607899 42.80179977     6.54231024 57.87806789    
0.12678500 42.68519974     6.53339005 55.05640626    
0.12749501 41.23239899     6.42124987 52.23908557    
0.12820899 40.89450073     6.39487982 49.43101411    
0.12892801 40.26810074     6.34571981 46.64247387    
0.12965000 39.02059937     6.24665022 43.90564284    
0.13037600 38.23490143     6.18344021 41.19932448    
0.13110700 37.58459854     6.13063002 38.52548545    
0.13184100 36.47249985     6.03924990 35.92798159    
0.13258000 36.00070190     6.00006008 33.39386395    
0.13332200 35.01570129     5.91740990 30.92531960    
0.13406900 33.88190079     5.82081985 28.52244956    
0.13482000 33.64979935     5.80084991 26.22441715    
0.13557599 32.60049820     5.70969009 24.01534649    
0.13633500 32.04809952     5.66110992 21.89585593    
0.13709900 31.33110046     5.59742022 19.86486944    
0.13786700 30.68320084     5.53923988 17.95002643    
0.13863900 30.16049957     5.49185991 16.16258213    
0.13941599 29.78709984     5.45774984 14.47380887    
0.14019699 29.03619957     5.38851976 12.88747384    
0.14098200 28.17009926     5.30754995 11.41248575    
0.14177200 27.52319908     5.24625015 10.08838473    
0.14256600 27.11260033     5.20697021 8.87668745     
0.14336500 26.32299995     5.13058996 7.77817427     
0.14416800 25.58169937     5.05783987 6.79372041     
0.14497600 25.61689949     5.06130981 5.92125675     
0.14578800 24.74959946     4.97489977 5.20084407     
0.14660500 24.56599998     4.95640993 4.58618812     
0.14742599 24.17840004     4.91715002 4.08158145     
0.14825200 23.62689972     4.86075020 3.68252685     
0.14908201 23.38409996     4.83571005 3.38191934     
