# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.71653273087347e-09, Chi^2 = 279.073721159316
#  q       exp_intensity   error model_intensity
0.08246210 222.21699524    14.90690041 113.32020076   
0.08292400 217.18800354    14.73729992 118.49460097   
0.08338860 214.29200745    14.63869953 123.31061370   
0.08385570 209.28399658    14.46669960 128.07623839   
0.08432550 204.78500366    14.31029987 132.50620547   
0.08479790 201.55400085    14.19699955 136.79882999   
0.08527290 197.74000549    14.06200027 140.78159815   
0.08575060 193.89900208    13.92479992 144.53854894   
0.08623100 190.33500671    13.79619980 148.01204695   
0.08671410 186.88600159    13.67059994 151.17425998   
0.08719990 182.81799316    13.52099991 154.08045800   
0.08768840 179.81199646    13.40939999 156.60915437   
0.08817960 178.50700378    13.36069965 158.90649546   
0.08867360 173.89799500    13.18700027 160.78886064   
0.08917030 170.82299805    13.06989956 162.44465517   
0.08966990 167.60899353    12.94639969 163.65344083   
0.09017220 165.39500427    12.86060047 164.63759202   
0.09067740 160.91000366    12.68500042 165.18169033   
0.09118530 158.25399780    12.57989979 165.48993345   
0.09169620 155.01199341    12.45040035 165.38186170   
0.09220990 151.92599487    12.32579994 165.01036245   
0.09272640 148.69999695    12.19429970 164.25432008   
0.09324590 146.98599243    12.12380028 163.21096021   
0.09376820 145.02699280    12.04269981 161.84546438   
0.09429350 141.46899414    11.89410019 160.15942143   
0.09482180 136.87800598    11.69950008 158.21531623   
0.09535300 134.76600647    11.60890007 155.91826533   
0.09588710 132.66099548    11.51790047 153.43489806   
0.09642430 130.19099426    11.41009998 150.57680532   
0.09696450 126.47699738    11.24619961 147.60627330   
0.09750770 123.34300232    11.10599995 144.24056083   
0.09805390 121.29199982    11.01319981 140.79645135   
0.09860320 118.83000183    10.90089989 137.02822109   
0.09915560 116.65000153    10.80049992 133.15836325   
0.09971110 112.65399933    10.61390018 129.06081834   
0.10027000 109.94599915    10.48550034 124.83265396   
0.10083100 107.58499908    10.37230015 120.47533588   
0.10139600 105.52500153    10.27260017 115.98752161   
0.10196400 102.99400330    10.14859962 111.43326152   
0.10253500 101.13700104    10.05669975 106.75715546   
0.10311000 97.36840057     9.86754036 102.03715532   
0.10368800 95.59169769     9.77709961 97.27309693    
