# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 2.77746452349830e-09, Chi^2 = 317.267267151599
#  q       exp_intensity   error model_intensity
0.10842700 77.62359619     8.81042957 28.56055659    
0.10903400 76.56520081     8.75014973 26.64396249    
0.10964500 74.34089661     8.62211990 25.08176428    
0.11025900 72.45999908     8.51233959 23.66774091    
0.11087700 71.25530243     8.44128990 22.45948328    
0.11149800 69.31089783     8.32532024 21.51275531    
0.11212200 68.52390289     8.27791977 20.68812869    
0.11275100 66.58419800     8.15991020 20.10707978    
0.11338200 65.17109680     8.07285976 19.69487769    
0.11401700 63.98960114     7.99935007 19.39856405    
0.11465600 61.89239883     7.86716986 19.33941800    
0.11529800 61.27809906     7.82804012 19.38012179    
0.11594400 59.89390182     7.73910999 19.53738383    
0.11659400 57.88629913     7.60831022 19.85357779    
0.11724700 57.69869995     7.59596014 20.24379052    
0.11790400 56.14509964     7.49300003 20.73165502    
0.11856400 54.27289963     7.36701012 21.31845526    
0.11922900 53.76559830     7.33249998 21.95428591    
0.11989600 51.99589920     7.21082020 22.64552536    
0.12056800 51.32500076     7.16415024 23.38864787    
0.12124400 50.20959854     7.08586979 24.15472683    
0.12192300 49.39739990     7.02832985 24.94186517    
0.12260600 47.44919968     6.88834000 25.73046232    
0.12329300 46.72079849     6.83525991 26.51114579    
0.12398300 46.83480072     6.84358978 27.27888223    
0.12467800 44.98830032     6.70733023 28.01118052    
0.12537600 44.09379959     6.64031982 28.71053656    
0.12607899 42.80179977     6.54231024 29.37606730    
0.12678500 42.68519974     6.53339005 29.97641586    
0.12749501 41.23239899     6.42124987 30.51077378    
0.12820899 40.89450073     6.39487982 30.98911728    
0.12892801 40.26810074     6.34571981 31.40099842    
0.12965000 39.02059937     6.24665022 31.71808383    
0.13037600 38.23490143     6.18344021 31.96246653    
0.13110700 37.58459854     6.13063002 32.13281775    
0.13184100 36.47249985     6.03924990 32.21019262    
0.13258000 36.00070190     6.00006008 32.19252696    
0.13332200 35.01570129     5.91740990 32.10231397    
0.13406900 33.88190079     5.82081985 31.94099185    
0.13482000 33.64979935     5.80084991 31.68124744    
0.13557599 32.60049820     5.70969009 31.34281491    
0.13633500 32.04809952     5.66110992 30.94160259    
0.13709900 31.33110046     5.59742022 30.47902120    
0.13786700 30.68320084     5.53923988 29.93819103    
0.13863900 30.16049957     5.49185991 29.34943085    
0.13941599 29.78709984     5.45774984 28.71350550    
0.14019699 29.03619957     5.38851976 28.03394391    
0.14098200 28.17009926     5.30754995 27.31877389    
0.14177200 27.52319908     5.24625015 26.57501770    
0.14256600 27.11260033     5.20697021 25.81741913    
0.14336500 26.32299995     5.13058996 25.05239433    
0.14416800 25.58169937     5.05783987 24.28566294    
0.14497600 25.61689949     5.06130981 23.51677192    
0.14578800 24.74959946     4.97489977 22.77741115    
0.14660500 24.56599998     4.95640993 22.05586127    
0.14742599 24.17840004     4.91715002 21.36502995    
0.14825200 23.62689972     4.86075020 20.70750302    
0.14908201 23.38409996     4.83571005 20.08316856    
0.14991800 22.71990013     4.76654005 19.52400005    
0.15075700 22.61249924     4.75525999 19.01865396    
0.15160200 22.02499962     4.69307995 18.56716257    
0.15245099 21.50300026     4.63713980 18.17191644    
0.15330499 21.45700073     4.63217020 17.83655008    
0.15416400 21.24640083     4.60937977 17.56487848    
0.15502800 20.08639908     4.48179007 17.35097873    
0.15589599 20.21780014     4.49641991 17.20826657    
0.15676901 19.68320084     4.43658018 17.13252345    
0.15764800 19.22820091     4.38499022 17.11162535    
0.15853100 18.61079979     4.31402016 17.14240187    
0.15941900 18.68400002     4.32250023 17.22245193    
0.16031200 18.58729935     4.31129980 17.34681277    
0.16121000 18.35779953     4.28459978 17.51113272    
0.16211300 17.81010056     4.22021008 17.71464425    
0.16302100 17.51309967     4.18486023 17.93242899    
0.16393501 17.50200081     4.18353987 18.18584867    
0.16485301 17.25790024     4.15426016 18.44280293    
0.16577700 16.84709930     4.10451984 18.70491914    
0.16670500 16.69930077     4.08648014 18.95560684    
0.16763900 16.56220055     4.06967020 19.19776831    
0.16857800 16.05830002     4.00727987 19.41891013    
0.16952300 15.91609955     3.98950005 19.61148970    
