# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.10796449543332e-09, Chi^2 = 92.9504634306682
#  q       exp_intensity   error model_intensity
0.04850320 1495.72998047   38.67459869 454.60473581   
0.04877490 1475.63000488   38.41400146 460.90635737   
0.04904810 1452.09997559   38.10639954 468.84915709   
0.04932290 1428.96997070   37.80179977 484.40094014   
0.04959920 1413.69995117   37.59909821 500.03768603   
0.04987710 1392.39001465   37.31470108 515.76487623   
0.05015650 1370.18005371   37.01599884 535.19989342   
0.05043750 1355.48999023   36.81700134 557.60750124   
0.05072000 1338.31005859   36.58290100 580.13482622   
0.05100410 1320.41003418   36.33739853 602.84760272   
0.05128990 1308.76000977   36.17679977 629.66299343   
0.05157720 1294.50000000   35.97919846 656.61889415   
0.05186610 1281.83996582   35.80279922 683.72509163   
0.05215670 1264.78002930   35.56370163 711.99379224   
0.05244890 1249.06005859   35.34199905 741.27918403   
0.05274270 1237.21997070   35.17419815 770.72549687   
0.05303820 1225.03002930   35.00049973 800.33385008   
0.05333530 1213.47998047   34.83499908 830.04997168   
0.05363410 1199.68994141   34.63650131 859.93562716   
0.05393450 1188.94995117   34.48120117 889.98150147   
0.05423670 1180.22998047   34.35440063 918.91144681   
0.05454050 1169.75000000   34.20169830 947.63421684   
0.05484610 1151.16003418   33.92879868 976.52710247   
0.05515330 1140.67004395   33.77379990 1004.10076084  
0.05546230 1128.64001465   33.59529877 1030.35146120  
0.05577300 1114.14001465   33.37870026 1056.74647442  
0.05608540 1103.89001465   33.22480011 1082.18665172  
0.05639960 1094.92004395   33.08969879 1104.83480228  
0.05671560 1077.89001465   32.83129883 1127.61292017  
0.05703330 1063.98999023   32.61880112 1150.01909069  
0.05735280 1049.78002930   32.40029907 1168.30550580  
0.05767410 1040.36999512   32.25469971 1186.69490392  
0.05799720 1024.72998047   32.01150131 1205.18749828  
0.05832210 1010.71997070   31.79179955 1218.54051660  
0.05864880 997.34802246    31.58079910 1231.92147138  
0.05897740 981.09301758    31.32239914 1245.38039540  
0.05930780 965.37298584    31.07049942 1253.73188811  
